[1679683043.0355403][803163][Stabilizer]: {'stateEstimateZ.x': -4865, 'stateEstimateZ.y': -161, 'stateEstimateZ.z': 68, 'stabilizer.roll': -8.629633903503418, 'stabilizer.pitch': -76.48845672607422, 'stabilizer.yaw': -6.919549465179443}
[1679683043.0449975][803173][Stabilizer]: {'stateEstimateZ.x': -4913, 'stateEstimateZ.y': -163, 'stateEstimateZ.z': 65, 'stabilizer.roll': -8.630849838256836, 'stabilizer.pitch': -76.4083251953125, 'stabilizer.yaw': -6.925537109375}
[1679683043.0550292][803183][Stabilizer]: {'stateEstimateZ.x': -4969, 'stateEstimateZ.y': -166, 'stateEstimateZ.z': 78, 'stabilizer.roll': -9.002516746520996, 'stabilizer.pitch': -76.86819458007812, 'stabilizer.yaw': -7.274156093597412}
[1679683043.0651252][803193][Stabilizer]: {'stateEstimateZ.x': -5017, 'stateEstimateZ.y': -168, 'stateEstimateZ.z': 75, 'stabilizer.roll': -9.00343132019043, 'stabilizer.pitch': -76.78639221191406, 'stabilizer.yaw': -7.276428699493408}
[1679683043.0760493][803203][Stabilizer]: {'stateEstimateZ.x': -5065, 'stateEstimateZ.y': -169, 'stateEstimateZ.z': 72, 'stabilizer.roll': -9.006330490112305, 'stabilizer.pitch': -76.71063995361328, 'stabilizer.yaw': -7.279701232910156}
[1679683043.0852902][803213][Stabilizer]: {'stateEstimateZ.x': -5041, 'stateEstimateZ.y': -172, 'stateEstimateZ.z': 73, 'stabilizer.roll': -9.874040603637695, 'stabilizer.pitch': -77.86829376220703, 'stabilizer.yaw': -8.1035795211792}
[1679683043.0951185][803223][Stabilizer]: {'stateEstimateZ.x': -5090, 'stateEstimateZ.y': -174, 'stateEstimateZ.z': 73, 'stabilizer.roll': -9.950519561767578, 'stabilizer.pitch': -77.87808990478516, 'stabilizer.yaw': -8.180797576904297}
[1679683043.1044607][803233][Stabilizer]: {'stateEstimateZ.x': -5137, 'stateEstimateZ.y': -176, 'stateEstimateZ.z': 69, 'stabilizer.roll': -9.951706886291504, 'stabilizer.pitch': -77.80006408691406, 'stabilizer.yaw': -8.190019607543945}
[1679683043.1157415][803243][Stabilizer]: {'stateEstimateZ.x': -5180, 'stateEstimateZ.y': -177, 'stateEstimateZ.z': 66, 'stabilizer.roll': -10.013104438781738, 'stabilizer.pitch': -77.78868865966797, 'stabilizer.yaw': -8.257514953613281}
[1679683043.12673][803253][Stabilizer]: {'stateEstimateZ.x': -5228, 'stateEstimateZ.y': -179, 'stateEstimateZ.z': 63, 'stabilizer.roll': -10.019449234008789, 'stabilizer.pitch': -77.70645141601562, 'stabilizer.yaw': -8.26450252532959}
[1679683043.1353285][803263][Stabilizer]: {'stateEstimateZ.x': -5271, 'stateEstimateZ.y': -179, 'stateEstimateZ.z': 59, 'stabilizer.roll': -10.146973609924316, 'stabilizer.pitch': -77.70413208007812, 'stabilizer.yaw': -8.39648723602295}
[1679683043.147329][803273][Stabilizer]: {'stateEstimateZ.x': -5329, 'stateEstimateZ.y': -183, 'stateEstimateZ.z': 71, 'stabilizer.roll': -10.554608345031738, 'stabilizer.pitch': -78.07176208496094, 'stabilizer.yaw': -8.777175903320312}
[1679683043.1567295][803283][Stabilizer]: {'stateEstimateZ.x': -5373, 'stateEstimateZ.y': -184, 'stateEstimateZ.z': 68, 'stabilizer.roll': -10.613948822021484, 'stabilizer.pitch': -78.0565414428711, 'stabilizer.yaw': -8.83731746673584}
[1679683043.1655421][803293][Stabilizer]: {'stateEstimateZ.x': -5421, 'stateEstimateZ.y': -186, 'stateEstimateZ.z': 65, 'stabilizer.roll': -10.615198135375977, 'stabilizer.pitch': -77.97210693359375, 'stabilizer.yaw': -8.844090461730957}
[1679683043.1746302][803303][Stabilizer]: {'stateEstimateZ.x': -5470, 'stateEstimateZ.y': -187, 'stateEstimateZ.z': 62, 'stabilizer.roll': -10.606675148010254, 'stabilizer.pitch': -77.8893814086914, 'stabilizer.yaw': -8.840968132019043}
[1679683043.1850014][803313][Stabilizer]: {'stateEstimateZ.x': -5514, 'stateEstimateZ.y': -191, 'stateEstimateZ.z': 70, 'stabilizer.roll': -11.027369499206543, 'stabilizer.pitch': -78.275390625, 'stabilizer.yaw': -9.232648849487305}
[1679683043.1955957][803323][Stabilizer]: {'stateEstimateZ.x': -5562, 'stateEstimateZ.y': -193, 'stateEstimateZ.z': 67, 'stabilizer.roll': -11.048850059509277, 'stabilizer.pitch': -78.20726776123047, 'stabilizer.yaw': -9.256559371948242}
[1679683043.205676][803333][Stabilizer]: {'stateEstimateZ.x': -5609, 'stateEstimateZ.y': -194, 'stateEstimateZ.z': 64, 'stabilizer.roll': -11.065194129943848, 'stabilizer.pitch': -78.14812469482422, 'stabilizer.yaw': -9.274840354919434}
[1679683043.214775][803343][Stabilizer]: {'stateEstimateZ.x': -5658, 'stateEstimateZ.y': -196, 'stateEstimateZ.z': 61, 'stabilizer.roll': -11.088234901428223, 'stabilizer.pitch': -78.06593322753906, 'stabilizer.yaw': -9.302130699157715}
[1679683043.2252798][803353][Stabilizer]: {'stateEstimateZ.x': -5703, 'stateEstimateZ.y': -200, 'stateEstimateZ.z': 58, 'stabilizer.roll': -11.112069129943848, 'stabilizer.pitch': -78.05973815917969, 'stabilizer.yaw': -9.318829536437988}
[1679683043.2350276][803363][Stabilizer]: {'stateEstimateZ.x': -5759, 'stateEstimateZ.y': -204, 'stateEstimateZ.z': 69, 'stabilizer.roll': -11.583169937133789, 'stabilizer.pitch': -78.43921661376953, 'stabilizer.yaw': -9.7557954788208}
[1679683043.245534][803373][Stabilizer]: {'stateEstimateZ.x': -5804, 'stateEstimateZ.y': -206, 'stateEstimateZ.z': 67, 'stabilizer.roll': -11.672407150268555, 'stabilizer.pitch': -78.42666625976562, 'stabilizer.yaw': -9.841691017150879}
