[1677845232.5740502][1233850][Stabilizer]: {'stabilizer.roll': -0.2904570400714874, 'stabilizer.pitch': -0.7693066000938416, 'stabilizer.yaw': 0.06567779183387756, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.582176][1233860][Stabilizer]: {'stabilizer.roll': -0.31928351521492004, 'stabilizer.pitch': -0.7608875632286072, 'stabilizer.yaw': 0.06628706306219101, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845232.5921612][1233870][Stabilizer]: {'stabilizer.roll': -0.3354957103729248, 'stabilizer.pitch': -0.7159374952316284, 'stabilizer.yaw': 0.06691881269216537, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 11}
[1677845232.6023092][1233880][Stabilizer]: {'stabilizer.roll': -0.3336012363433838, 'stabilizer.pitch': -0.7425400018692017, 'stabilizer.yaw': 0.06647125631570816, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 11}
[1677845232.613699][1233890][Stabilizer]: {'stabilizer.roll': -0.27977433800697327, 'stabilizer.pitch': -0.7602683305740356, 'stabilizer.yaw': 0.06372088193893433, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 11}
[1677845232.6231632][1233900][Stabilizer]: {'stabilizer.roll': -0.3073340356349945, 'stabilizer.pitch': -0.7519928812980652, 'stabilizer.yaw': 0.06446121633052826, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 11}
[1677845232.6316464][1233910][Stabilizer]: {'stabilizer.roll': -0.350721538066864, 'stabilizer.pitch': -0.7689737677574158, 'stabilizer.yaw': 0.06546316295862198, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 11}
[1677845232.6427648][1233920][Stabilizer]: {'stabilizer.roll': -0.3039948344230652, 'stabilizer.pitch': -0.776255190372467, 'stabilizer.yaw': 0.06376265734434128, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 11}
[1677845232.6521962][1233930][Stabilizer]: {'stabilizer.roll': -0.3126388192176819, 'stabilizer.pitch': -0.7127829194068909, 'stabilizer.yaw': 0.06766153126955032, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 11}
[1677845232.661661][1233940][Stabilizer]: {'stabilizer.roll': -0.34672439098358154, 'stabilizer.pitch': -0.7319371700286865, 'stabilizer.yaw': 0.06835627555847168, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 11}
[1677845232.6725192][1233950][Stabilizer]: {'stabilizer.roll': -0.2649799883365631, 'stabilizer.pitch': -0.7871895432472229, 'stabilizer.yaw': 0.0647372156381607, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 11}
[1677845232.6824172][1233960][Stabilizer]: {'stabilizer.roll': -0.29242604970932007, 'stabilizer.pitch': -0.7847640514373779, 'stabilizer.yaw': 0.06580901890993118, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.6928825][1233970][Stabilizer]: {'stabilizer.roll': -0.3023624122142792, 'stabilizer.pitch': -0.7581544518470764, 'stabilizer.yaw': 0.0668412446975708, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.7026172][1233980][Stabilizer]: {'stabilizer.roll': -0.31107470393180847, 'stabilizer.pitch': -0.7583004832267761, 'stabilizer.yaw': 0.06721466034650803, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.7143724][1233990][Stabilizer]: {'stabilizer.roll': -0.28470170497894287, 'stabilizer.pitch': -0.7571563720703125, 'stabilizer.yaw': 0.06667207926511765, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845232.7213097][1234000][Stabilizer]: {'stabilizer.roll': -0.26716747879981995, 'stabilizer.pitch': -0.7828700542449951, 'stabilizer.yaw': 0.06474321335554123, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845232.7318592][1234010][Stabilizer]: {'stabilizer.roll': -0.3228013515472412, 'stabilizer.pitch': -0.7101369500160217, 'stabilizer.yaw': 0.06816627830266953, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 14}
[1677845232.7426968][1234020][Stabilizer]: {'stabilizer.roll': -0.349153608083725, 'stabilizer.pitch': -0.7214378714561462, 'stabilizer.yaw': 0.06845486909151077, 'stateEstimateZ.x': -357, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 14}
[1677845232.754121][1234030][Stabilizer]: {'stabilizer.roll': -0.29186350107192993, 'stabilizer.pitch': -0.7757534980773926, 'stabilizer.yaw': 0.0636303499341011, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.763426][1234040][Stabilizer]: {'stabilizer.roll': -0.2919972538948059, 'stabilizer.pitch': -0.782941997051239, 'stabilizer.yaw': 0.06308930367231369, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.7731755][1234050][Stabilizer]: {'stabilizer.roll': -0.27489182353019714, 'stabilizer.pitch': -0.7635177969932556, 'stabilizer.yaw': 0.06333985179662704, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 14}
[1677845232.7825928][1234060][Stabilizer]: {'stabilizer.roll': -0.2733524739742279, 'stabilizer.pitch': -0.7623711824417114, 'stabilizer.yaw': 0.0630188137292862, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 14}
[1677845232.7940226][1234070][Stabilizer]: {'stabilizer.roll': -0.2717611789703369, 'stabilizer.pitch': -0.7601467967033386, 'stabilizer.yaw': 0.06245928257703781, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 14}
[1677845232.8030984][1234080][Stabilizer]: {'stabilizer.roll': -0.2914551794528961, 'stabilizer.pitch': -0.8077044486999512, 'stabilizer.yaw': 0.06179759278893471, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
[1677845232.8138893][1234090][Stabilizer]: {'stabilizer.roll': -0.2920459508895874, 'stabilizer.pitch': -0.7959174513816833, 'stabilizer.yaw': 0.06284119933843613, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 14}
